id_tags,Title,Author,Original Price (COP),Actual Price (COP),Discount %,Units Left,Link,Number of Opinions,Extra Information,Date
3513068,siddhartha,hermann hesse, 117.572, 76.422,35,Quedan 63 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781604595925/p/3513068,(0),"['wilder publications', 'Nuevo']",2023-11-06
24427809,Siddhartha: An Indian Tale,"hesse, hermann", 121.286, 78.836,35,Quedan 65 unidades,https://www.buscalibre.com.co/libro-siddhartha-an-indian-tale/9781434102652/p/24427809,(0),"['editorium', ' 2009', 'Nuevo']",2023-11-06
1602260,Siddhartha (Shambhala Classics) (libro en Inglés),Hermann Hesse, 107.173, 69.662,35,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha-shambhala-classics-libro-en-ingles/9781570627217/p/1602260,(0),"['Shambhala', ' 2000', ' Tapa blanda', 'Nuevo']",2023-11-06
48464945,The Gene: An Intimate History,Siddhartha Mukherjee, 168.760, 109.694,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-gene-an-intimate-history/9781432837815/p/48464945,(0),"['Large Print Press', ' Tapa Blanda', 'Usado']",2023-11-06
4717614,siddhartha,hermann hesse, 125.000, 81.250,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781936041350/p/4717614,(0),"['simon & brown', 'Nuevo']",2023-11-06
54514000,Siddhartha (libro en Inglés),"Hesse, Hermann ; Watts, Alan", 106.059, 68.938,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781954525870/p/54514000,(0),"['Warbler Press Inc.', ' Tapa Blanda', 'Nuevo']",2023-11-06
54687316,"Siddhartha (World Classics, Unabridged) (Libro en Inglés)","Hesse, Hermann", 127.971, 83.181,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-world-classics-unabridged-libro-en-ingles/9789386101129/p/54687316,(0),"['Alpha Edition', ' Tapa Blanda', 'Nuevo']",2023-11-06
53267618,# 630. Demian / Siddhartha,Hermann Hesse, 87.311, 56.752,35,Quedan 3 unidades,https://www.buscalibre.com.co/libro-630-demian-siddhartha/9786070936005/p/53267618,(0),"['Porrua', 'Nuevo']",2023-11-06
54696544,Siddhartha (Libro en Inglés),"Hesse, Hermann", 158.427, 102.977,35,Quedan 95 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9789355220585/p/54696544,(0),"['Classy Publishing', ' Tapa Blanda', 'Nuevo']",2023-11-06
49694823,Siddhartha,Hermann Hesse, 123.607, 80.345,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781481162081/p/49694823,(0),"['Createspace', ' Tapa blanda', 'Nuevo']",2023-11-06
55599409,Siddhartha,Hermann Hesse, 167.477, 108.860,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788401422003/p/55599409,(0),"['Plaza & Janés', ' Barcelona', '', ' Tapa Blanda', 'Usado']",2023-11-06
4717502,siddhartha,hermann hesse, 126.764, 82.397,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781613820834/p/4717502,(0),"['simon & brown', 'Nuevo']",2023-11-06
4717618,siddhartha,hermann hesse, 125.000, 81.250,35,Quedan 54 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781936041541/p/4717618,(0),"['simon & brown', 'Nuevo']",2023-11-06
55056054,Siddhartha,, 147.448, 95.841,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788489693760/p/55056054,(0),"['Editorial Optima', ' Tapa Blanda', 'Usado']",2023-11-06
